"person","cars"
"Sarah Blair","Tesla Model 3"
"Sarah Jones","Kia K5"
"Sarah Mayer","BMW M3"
"Sarah Mcconnell","Kia K5"
"Scott Brown","Hyundai Sonata"
"Scott Kaiser","Lada Vesta"
"Scott Mcguire","Kia Rio"
"Sean Fritz","Lada Kalina"
"Sean Roberts","Tesla Model X"
"Sean Wyatt","BMW F80"
"Sergio Snyder","Audi S3"
"Shane Garcia","Tesla Model X"
"Shane Hawkins","Porsche 911"
"Shannon Clements","Lada Kalina"
"Shannon Copeland","Audi A3"
"Shannon Garrison","BMW F80"
"Shannon Martinez","Tesla Model S"
"Shannon Sullivan","Kia Rio"
"Sharon Leonard","Hyundai Elantra"
"Shaun Black","Hyundai Avante, BMW M3"
"Shawn Butler","Kia K5"
"Shawn Cole MD","Kia K5"
"Shawn Johnson","BMW F80"
"Shawn Ray","Kia Rio"
"Sherri Russell","Lada Samara"
"Sherry Kennedy","Audi RS3"
"Sierra Weaver","Audi S3"
"Sophia Swanson","Hyundai Sonata, BMW M3"
"Stacey Hall","Porsche 911"
"Stacy Smith","Tesla Model Y"
"Stefanie Carey","Hyundai Elantra"
"Stephanie Anderson","Audi A3"
"Stephanie Davis","Kia Rio"
"Stephanie Gutierrez","Tesla Model Y"
"Stephanie Henry","Audi A3"
"Stephanie Johnson","BMW F80, Tesla Model 3"
"Stephanie Smith","Lada Vesta"
"Stephanie Todd","Hyundai Avante"
"Stephanie Weber","Tesla Model S"
"Stephen Baker","Kia Rio"
"Stephen Evans","Lada Kalina, BMW F80"
"Stephen Jones","Hyundai Elantra"
"Stephen Murray","Lada Samara"
"Stephen Reed","Tesla Model Y"
"Stephen Sloan","Tesla Model X"
"Stephen Ward","Audi A3"
"Stephen Welch","Hyundai Sonata"
"Steven Brennan","Kia K5"
"Steven Cochran","Tesla Model X"
"Steven Forbes","Audi A3"
"Steven Gallegos","Tesla Model X"
"Steven Gentry Jr.","Hyundai Avante"
"Steven Lamb","Audi RS3"
"Steven Owens","Porsche 911"
"Steven Robinson","Tesla Model Y"
"Summer Diaz","Lada Samara, Hyundai Sonata"
"Susan Garner DVM","Hyundai Elantra"
"Susan Martinez","BMW F30"
"Susan Phelps","Tesla Model S"
"Susan Salinas","Kia Rio"
"Suzanne Romero","Hyundai Avante"
"Sydney Williams","Hyundai Avante, Tesla Model 3"
"Tammie Williams","Kia Rio"
"Tammy Anderson","BMW F80"
"Tammy Crawford","Audi A3"
"Tara Davis","Porsche 911"
"Taylor Rios","Lada Kalina"
"Taylor Vasquez","Audi RS3"
"Teresa Atkins","Lada Kalina"
"Teresa Burke","Audi S3"
"Teresa Reynolds","Lada Vesta"
"Terri Green","Hyundai Elantra"
"Terri Morales","BMW M3"
"Terry Fry","Porsche 911"
"Terry Kelly","Audi S3"
"Terry Snyder","Lada Vesta"
"Terry Zamora","Tesla Model Y"
"Theresa Oliver","Audi S3"
"Theresa Price","Tesla Model Y"
"Thomas Ball","BMW F80"
"Thomas Brock","Tesla Model X"
"Thomas Hansen","Lada Vesta"
"Thomas Hardy","Audi A3"
"Thomas Miller","Tesla Model 3"
"Thomas Moore","Hyundai Avante"
"Thomas Parker","Porsche 911, Audi RS3"
"Thomas West","Porsche 911"
"Tiffany Santiago","Tesla Model X"
"Tiffany Turner","BMW F30"
"Timothy Andrews","Audi S3"
"Timothy Brooks","Audi S3"
"Timothy Carlson","Hyundai Avante"
"Timothy Hamilton","Audi A3"
"Timothy Kent","Tesla Model Y"
"Timothy Lewis","Audi A3"
"Timothy Morales","BMW F80, Audi RS3"
"Timothy Parker","Porsche 911"
"Timothy Sanders","Hyundai Elantra, Tesla Model 3"
"Timothy Singh","Tesla Model 3, Lada Kalina"
"Timothy Wong","BMW F80"
"Timothy Young","Kia K5"
"Tina Cummings","Lada Kalina"
"Tina Stark","BMW M3"
"Todd Gonzalez","Audi A3"
"Todd Palmer","Hyundai Elantra"
"Todd Robertson","BMW M3"
"Todd Ruiz","Porsche 911"
"Tony Cruz","Tesla Model Y"
"Tony Gross","Hyundai Elantra"
"Tonya Brown","Audi S3"
"Tonya Rivera","BMW F80, Porsche 911"
"Tracy Knight","Kia K5"
"Tracy Price","Lada Vesta"
"Tracy Terry","Lada Kalina"
"Trevor Rodriguez","Kia Rio"
"Troy Kelly","Audi RS3"
"Tyler Dougherty","Tesla Model Y"
"Tyler Frey","Tesla Model Y"
"Tyler Walker","Audi RS3"
"Valerie Maldonado DVM","Lada Samara"
"Valerie Schneider","Audi S3, Audi A3"
"Vanessa Davis","Lada Samara"
"Vanessa Hernandez","Hyundai Elantra"
"Vanessa Reed","Audi RS3"
"Vanessa Vasquez","BMW F80"
"Victor Grant","Kia Rio"
"Victoria Brown","Audi S3"
"Victoria Henderson","Lada Kalina"
"Victoria Martinez","Audi A3"
"Victoria Mcbride","Lada Samara"
"Victoria Wright","Tesla Model Y"
"Walter Johnson","Kia Rio"
"Walter Smith","BMW F80"
"Wayne Johnson","BMW M3"
"Wayne Miller","Porsche 911, Lada Samara"
"Wendy Allen","BMW F80"
"Wendy Blair","Hyundai Avante"
"Wendy Campbell","Audi S3"
"Wendy Fox","Audi A3, BMW M3"
"Wendy Rivera","BMW M3"
"Wesley Cox","Kia K5"
"William Aguilar","BMW F80"
"William Anderson","Hyundai Avante, Audi A3"
"William Chambers","Lada Vesta"
"William Fleming","Tesla Model 3"
"William Hess","BMW F80"
"William Hunt","Kia Rio"
"William Kirk","Hyundai Elantra"
"William Thompson","BMW F30"
"William Wong","Audi S3"
"Yolanda Wilson","Audi S3"
"Zachary Buckley","Audi RS3"
"Zachary Long","Audi A3"
"Zachary Montes","BMW F80, Tesla Model X"
"Zachary Robinson","Kia Rio"
