id,auto,gasoline_consumption,price,date,person_name,phone,discount,brand_origin
264,"Tesla Model 3, blue",null,66041.3,2019-11-14,Laura Mcmahon,+1-176-092-2870x98817,0,USA
265,"Hyundai Elantra, grey",5,34700.4,2022-10-01,Eric Gibson,(992)714-3532x32222,0,South Korea
266,"Hyundai Sonata, grey",6,30502.6,2016-01-11,Lauren Hart,(176)649-6042,0,South Korea
267,"Tesla Model Y, yellow",null,48902.715,2020-09-04,Samuel Walker,707.543.2997x949,0,USA
268,"Audi A3, blue",5.7,22154.4,2015-06-09,Alexander Le,824.853.7229,0,Germany
269,"Porsche 911, green",12,67813.04250000001,2021-09-09,Alicia Mejia,0903720006,7,null
270,"Tesla Model X, red",null,45309.375,2015-07-09,Jason Baker,681.137.9667x6248,0,USA
271,"Hyundai Elantra, red",5,39182.625,2020-10-14,Ashley Barrett,+1-343-433-7100x74487,0,South Korea
272,"Lada Vesta, yellow",7.3,16370.0775,2022-11-01,Jennifer Rodriguez,443.689.4715,0,Russia
273,"Tesla Model 3, pink",null,25866.54,2020-03-01,Donald Carr,017-366-7764,0,USA
274,"Porsche 911, purple",12,67317.59999999999,2018-11-13,Paul Townsend,(117)468-7280,0,null
275,"Hyundai Elantra, blue",5,24873.912,2015-11-29,Andrea Butler,001-817-536-3509x1460,16,South Korea
276,"Tesla Model X, pink",null,28408.59,2021-04-13,Steven Gallegos,(975)831-5335x64641,0,USA
277,"Kia K5, blue",4.9,24567.3,2015-01-15,John Duran,911-840-5753,0,South Korea
278,"Tesla Model Y, purple",null,46740.200000000004,2019-05-13,David Walsh,(985)249-4150x174,0,USA
279,"Kia K5, purple",4.9,17678.850000000002,2021-02-17,Michele Hopkins,567.326.6125x90793,0,South Korea
280,"Lada Samara, grey",7.8,15910.8,2018-12-15,Andrew Reilly,001-824-734-5630x53985,0,Russia
281,"Lada Kalina, purple",6.7,15084.9,2020-04-06,Sean Fritz,330-035-9564x4120,0,Russia
282,"Tesla Model X, yellow",null,39406.59,2015-02-01,Kylie Matthews,287.069.6560x4989,0,USA
283,"Tesla Model S, orange",null,55923,2021-08-26,Andrea Adkins,+1-155-620-0918x19172,0,USA
284,"Porsche 911, red",12,64037.25,2015-10-14,Melanie Neal,525.065.6744,0,null
285,"BMW F80, pink",8.3,22052.217599999996,2015-08-14,Jason Berger,390-465-5867x1991,4,Germany
286,"Tesla Model X, pink",null,22339.8,2022-02-14,Cody Werner,(793)422-8301x530,0,USA
287,"Lada Samara, green",7.8,11006.396,2016-07-04,Dominic Perez,598.360.1152,3,Russia
288,"Lada Vesta, grey",7.3,16244.550000000001,2022-02-27,Stephanie Smith,+1-200-436-6125x5876,0,Russia
289,"Hyundai Elantra, purple",5,30987,2017-02-03,Kristen Klein,796-613-8018x2887,0,South Korea
290,"BMW F30, grey",2,39346.65,2021-02-19,Patrick Simmons,+1-662-322-3318,0,Germany
291,"Hyundai Elantra, grey",5,33522,2017-04-23,Stefanie Carey,635-050-9787x133,0,South Korea
292,"Hyundai Elantra, red",5,60255,2019-05-28,Peter Gutierrez,850-414-9873,0,South Korea
293,"Lada Samara, red",7.8,16900.5,2016-12-23,Jonathan Smith,(288)944-9103,0,Russia
294,"Kia Rio, red",3.1,21107.5,2017-03-16,Tammie Williams,+1-832-987-3155,0,South Korea
295,"Kia K5, pink",4.9,14335.92,2018-11-27,John Robinson,0792831907,0,South Korea
296,"Audi RS3, yellow",7.5,32367.0375,2021-06-16,Jessica Winters,022-554-6624x70789,0,Germany
297,"Kia K5, red",4.9,29902.5,2020-03-06,Raymond Myers,+1-684-260-4132,0,South Korea
298,"Lada Kalina, orange",6.7,11693,2017-04-05,Laura Castro,7270957256,0,Russia
299,"Tesla Model S, blue",null,47729.85,2021-06-24,Christopher Cohen,695-456-1503x84690,0,USA
300,"Audi S3, pink",6.9,13066.92,2015-08-03,Jacqueline Schaefer,335-714-9698x387,0,Germany
301,"BMW F80, grey",8.3,48906,2018-08-30,Denise Rodriguez,(113)300-5125,0,Germany
302,"Lada Vesta, yellow",7.3,19084.019999999997,2018-04-27,Andrew Williams,001-166-301-9372,0,Russia
303,"Audi S3, purple",6.9,26373.899999999998,2016-04-30,Michael Coleman,+1-906-057-7480x3121,0,Germany
304,"Audi RS3, grey",7.5,21164.1,2016-08-24,Levi Duarte,201.737.5623x346,0,Germany
305,"Tesla Model Y, grey",null,32201.100000000002,2015-01-06,Bruce Brewer,+1-536-500-1271x0268,0,USA
306,"Kia K5, orange",4.9,27791.4,2022-12-06,Blake Turner,+1-246-612-7664x717,0,South Korea
307,"BMW F80, purple",8.3,37789.5,2022-03-31,Elizabeth Coleman,(263)401-7163,0,Germany
308,"Lada Kalina, pink",6.7,12109.5,2019-06-23,Dr. Maria Gross MD,(066)459-7661,0,Russia
309,"Lada Vesta, yellow",7.3,13091.714999999998,2020-12-04,Laura Smith,446-395-7727x2814,0,Russia
310,"Tesla Model S, green",null,39777.15,2022-10-11,James Young,624-626-3975,0,USA
311,"Hyundai Sonata, orange",6,32231.850000000002,2022-12-22,Heidi Dixon,(492)795-9598x79354,0,South Korea
312,"BMW F30, pink",2,23774.94,2021-05-26,Elizabeth Hunter,3893327402,0,Germany
313,"BMW M3, yellow",9,53441.765,2019-10-26,Alexis Ward,001-125-313-4416x814,0,Germany
314,"Tesla Model X, blue",null,35853.95,2016-04-06,Eduardo Marshall,4836563484,0,USA
315,"Tesla Model X, yellow",null,54110.95,2017-08-22,Katie Lee,+1-545-138-6106,0,USA
316,"Hyundai Avante, purple",5.5,28961.100000000002,2015-11-21,Evan Terry,(152)240-2269x1844,0,South Korea
317,"BMW F80, pink",8.3,25012.17,2016-01-30,Ashley Mccarthy,+1-761-269-6810x006,0,Germany
318,"BMW F80, red",8.3,48843.0625,2016-02-14,Jennifer Moses,+1-073-539-0843x4212,0,Germany
319,"Kia Rio, green",3.1,26966.100000000002,2022-06-22,Zachary Robinson,(778)496-9499,0,South Korea
320,"Lada Samara, pink",7.8,9213.48,2015-01-02,Joshua Sheppard,722-446-4112x5032,0,Russia
321,"BMW F80, green",8.3,39146.65,2016-08-24,Alice Martinez,976-784-5294,0,Germany
322,"Lada Vesta, pink",7.3,9765.359999999999,2018-12-09,Jennifer Bell,+1-816-519-9933,0,Russia
323,"Tesla Model S, orange",null,42392.700000000004,2020-04-06,Russell Randall,001-520-737-9728,0,USA
324,"Hyundai Sonata, green",6,33367.799999999996,2016-01-31,Paul Perry,857-537-9513,0,South Korea
325,"Hyundai Avante, yellow",5.5,38803.185,2020-09-28,Stephanie Todd,195-913-8171,0,South Korea
326,"BMW F30, grey",2,46590.700000000004,2019-01-01,Allison Martinez,+1-196-422-1350x76677,0,Germany
327,"Hyundai Sonata, pink",6,18461.399999999998,2017-05-19,Kimberly Conner,+1-442-966-0216,0,South Korea
328,"Kia K5, red",4.9,41028,2018-08-19,Tracy Knight,(535)623-2065,0,South Korea
329,"Audi A3, green",5.7,17635.176,2020-02-06,Derrick Leach Jr.,880.007.4795x63429,17,Germany
330,"BMW F80, orange",8.3,33668.1,2020-02-24,Joshua Osborne,+1-157-561-9038,0,Germany
331,"Tesla Model 3, green",null,44295.3,2015-08-26,Robert Powell,+1-787-397-0902x667,0,USA
332,"BMW M3, yellow",9,43596.2125,2016-05-21,Melissa Smith,001-925-819-6071,0,Germany
333,"Lada Kalina, green",6.7,16056.9,2015-07-29,Jordan Goodwin,000.425.0592x422,0,Russia
334,"Hyundai Elantra, red",5,39587.5,2017-07-16,Kimberly Velasquez,(559)398-7210x115,0,South Korea
335,"Tesla Model Y, grey",null,39833.1,2020-08-11,Terry Zamora,453-256-3640x200,0,USA
336,"Audi S3, yellow",6.9,28480.094999999998,2022-07-16,Kathryn Merritt,(760)879-6277x285,0,Germany
337,"Porsche 911, purple",12,61963.65,2021-05-18,Jessica Jacobs,730.996.7208x069,0,null
338,"Hyundai Sonata, grey",6,28690,2016-01-11,Robert Johnson,(529)289-2317x21905,0,South Korea
339,"Audi RS3, purple",7.5,23082,2017-01-30,Taylor Vasquez,+1-251-628-7053x24301,0,Germany
340,"Porsche 911, orange",12,52180.439999999995,2017-06-18,Brian Brown,(050)559-0230x4412,17,null
341,"Audi A3, orange",5.7,20309.584499999997,2016-05-31,Donald Reed,7701301745,13,Germany
342,"Kia K5, blue",4.9,29696.399999999998,2018-11-23,Amanda Wells,355-469-2420,0,South Korea
343,"Audi A3, yellow",5.7,20573.807625,2022-12-26,Stephanie Henry,001-649-961-7278x752,19,Germany
344,"BMW F30, purple",2,45691.668,2018-05-05,Tiffany Turner,001-492-053-7370,1,Germany
345,"BMW F30, purple",2,32465.7,2015-12-01,Brooke Haley,939.624.6097x9465,0,Germany
346,"Hyundai Sonata, grey",6,37968.761999999995,2019-05-08,Gregory Marshall,(009)018-6815x97366,6,South Korea
347,"Tesla Model X, red",null,43560.5625,2020-01-03,Douglas Meyer,001-334-552-2874x5730,9,USA
348,"Kia K5, red",4.9,18069.75,2020-07-26,Steven Brennan,300-764-0167x71023,0,South Korea
349,"Lada Vesta, yellow",7.3,11092.693,2017-04-28,Linda Johnston,(357)448-4598x28013,11,Russia
350,"Audi A3, pink",5.7,18865.119,2019-03-26,Victoria Martinez,(371)654-2055,5,Germany
351,"Porsche 911, yellow",12,92512.095,2019-09-14,Adam Nicholson,(422)564-8666x2419,0,null
352,"Tesla Model X, grey",null,56101.2,2018-06-09,Lauren Rhodes,856-651-2527x398,0,USA
353,"Porsche 911, purple",12,58753.479999999996,2017-10-21,Katie Clements,9038775262,14,null
354,"Tesla Model S, purple",null,50323.2,2018-09-23,Audrey Nguyen,193-848-5961,0,USA
355,"Tesla Model 3, orange",null,48702,2018-06-24,Bryan Jackson,010.076.3432x82458,0,USA
356,"Audi RS3, yellow",7.5,35222.775,2021-12-11,Mrs. Mary Adams,9340732310,0,Germany
357,"Tesla Model Y, red",null,55121.0625,2021-02-17,Craig Johnson,+1-758-157-4521,0,USA
358,"Tesla Model Y, pink",null,32785.83,2022-12-17,Mathew Hernandez,743-864-1764x4505,0,USA
359,"Audi S3, purple",6.9,19005.3,2020-09-14,John Mcdonald,016.131.4028x810,0,Germany
360,"Tesla Model 3, red",null,58845.9375,2021-05-09,Jessica Walker,548.155.3005x055,0,USA
361,"Audi A3, blue",5.7,24202.199999999997,2016-02-16,Rhonda Sanders,323-873-6647x667,0,Germany
362,"BMW F80, grey",8.3,45008.25,2021-01-14,Joseph Ramirez,(003)136-6011x717,0,Germany
363,"BMW F30, green",2,49092,2018-11-02,Cassidy Robinson,677.082.6416,0,Germany
364,"Lada Kalina, orange",6.7,21465.600000000002,2019-02-15,Micheal Walsh,+1-555-852-9775x76153,0,Russia
365,"Lada Kalina, red",6.7,15115.5,2018-02-04,Keith Lee,784.987.2403x34284,0,Russia
366,"Tesla Model 3, red",null,65403,2018-06-30,Rhonda Casey,237.250.3420,0,USA
367,"Tesla Model 3, pink",null,24364.26,2020-03-18,Christy Haas DVM,105-730-7169,0,USA
368,"Audi A3, pink",5.7,16376.1,2019-07-27,Jennifer Murray,872-885-9607x65508,0,Germany
369,"Porsche 911, pink",12,36197.28,2016-06-23,Ryan Henderson,012.766.0586x939,0,null
370,"Porsche 911, orange",12,71855.7,2021-03-02,Richard Williams,3131137386,0,null
371,"Tesla Model X, purple",null,40499.1,2015-11-09,Renee Farrell,7427338252,0,USA
372,"BMW F80, orange",8.3,37948.5,2020-07-21,Vanessa Vasquez,001-456-643-1616,0,Germany
373,"Kia K5, purple",4.9,25944.45,2021-02-17,Alyssa Holt,468.023.1396x986,0,South Korea
374,"Tesla Model Y, grey",null,41452.200000000004,2015-03-16,James Fields,(991)583-1299x899,0,USA
375,"Tesla Model S, yellow",null,51533.799999999996,2017-06-02,George Wright,001-380-052-0727x54571,0,USA
376,"Lada Vesta, grey",7.3,21180,2018-04-12,Jennifer Sloan,462-171-9846x846,0,Russia
377,"Audi RS3, pink",7.5,18831.329999999998,2022-11-15,Steven Lamb,562-910-5479x43338,0,Germany
378,"Audi A3, green",5.7,22394.4,2022-05-04,David Booker,8585131749,0,Germany
379,"Tesla Model S, yellow",null,60272.362499999996,2022-10-07,Stephanie Weber,+1-725-809-6280x14377,0,USA
380,"BMW F80, red",8.3,72666.75,2019-10-06,Michael Holmes,007-204-3680,0,Germany
381,"Tesla Model S, purple",null,41573.133,2021-11-03,Lisa Anderson,5426358068,3,USA
382,"Kia Rio, orange",3.1,31358.25,2022-07-25,Katherine Wright,001-653-576-8207,0,South Korea
383,"Hyundai Elantra, pink",5,26203.679999999997,2018-05-25,Robert Little,(455)934-8712x7305,0,South Korea
384,"Hyundai Avante, orange",5.5,36706.950000000004,2021-08-15,Joseph French,+1-136-555-5322,0,South Korea
385,"Lada Samara, orange",7.8,18517.499000000003,2019-10-27,Kristin Anderson,036.243.8088,9,Russia
386,"Audi S3, blue",6.9,35785.1,2019-03-09,Barbara Villegas,9404251203,0,Germany
387,"Tesla Model 3, pink",null,30117,2017-11-20,Jerry Aguirre,365-772-0890,0,USA
388,"Kia Rio, yellow",3.1,27163.574999999997,2015-09-09,Victor Grant,233-598-0040,0,South Korea
389,"BMW M3, yellow",9,39026.744999999995,2020-04-17,Aaron Montgomery,590-202-0061,0,Germany
390,"Lada Vesta, yellow",7.3,14627.5515,2020-12-15,Collin Lewis,+1-759-481-6463x4137,6,Russia
391,"BMW M3, purple",9,44478,2022-05-30,Todd Robertson,986.898.2170,0,Germany
392,"Audi A3, red",5.7,24727.3125,2016-03-10,Kelsey Hughes,001-814-021-9314x24124,0,Germany
393,"Tesla Model S, green",null,55069.98,2018-07-01,Erika Hall,001-962-116-3949x90004,5,USA
394,"Tesla Model S, green",null,34306.200000000004,2020-06-14,Rachel Johnson,(125)861-8594x8253,0,USA
395,"Audi RS3, purple",7.5,27139.2,2018-08-20,Ronald Calderon,889-100-0870,0,Germany
396,"Audi A3, pink",5.7,21478.319999999996,2018-08-18,Linda Mendez,+1-023-025-9017,0,Germany
397,"Porsche 911, grey",12,75597.6,2019-11-23,Anthony Richardson,455-329-9442x59414,0,null
398,"Hyundai Avante, blue",5.5,31708.95,2021-07-30,Molly Odom,(148)533-4816x01108,0,South Korea
399,"Tesla Model Y, red",null,55729.375,2016-03-27,Catherine Garcia,0122257343,0,USA
400,"Hyundai Elantra, pink",5,19795.2,2017-08-11,Bailey Guzman,001-654-035-0399x98526,0,South Korea
401,"Audi A3, green",5.7,29150.568,2018-05-18,Frances Logan,+1-286-975-9067,13,Germany
402,"BMW M3, red",9,50146.875,2020-10-06,Tina Stark,+1-796-596-0058x1705,0,Germany
403,"Hyundai Avante, pink",5.5,22054.2,2017-04-22,Steven Gentry Jr.,+1-962-305-7326x461,0,South Korea
404,"Hyundai Elantra, orange",5,32254,2017-07-31,Holly Harris,+1-434-386-9083x687,0,South Korea
405,"Tesla Model 3, blue",null,47628,2018-07-26,Juan Simmons,273-231-2557x281,0,USA
406,"Kia K5, blue",4.9,34729.2,2018-08-17,Kimberly Daniels,001-944-968-1881,0,South Korea
407,"Audi A3, yellow",5.7,28791.629999999997,2015-08-29,Matthew Griffin,(560)066-7267x87395,0,Germany
408,"Audi S3, yellow",6.9,26993.835,2015-12-07,Sierra Weaver,(706)542-1752x79268,0,Germany
409,"Lada Kalina, grey",6.7,14526.75,2021-04-05,Jonathan Thompson,+1-578-199-7830,0,Russia
410,"Kia K5, orange",4.9,24869,2019-05-18,John Wilson,174-139-3814x0356,0,South Korea
411,"Kia Rio, green",3.1,15384.3,2016-07-23,Shawn Ray,944.172.4788x430,0,South Korea
412,"Hyundai Sonata, orange",6,38700,2018-02-05,Mary Perez,(383)865-8579x868,0,South Korea
413,"Audi A3, red",5.7,26554.5,2022-07-22,Jennifer Mccullough MD,(025)710-1434,0,Germany
414,"Audi S3, green",6.9,20236.5,2015-01-08,Timothy Andrews,001-725-996-1535,0,Germany
415,"BMW F80, red",8.3,49898.625,2021-04-04,Jacqueline Cooper,001-408-842-1133x26943,0,Germany
416,"Kia Rio, purple",3.1,19995.864,2022-05-06,Richard Zhang,203-806-2875,18,South Korea
417,"Hyundai Elantra, green",5,41940,2018-09-06,Jason Brown,+1-578-626-8316x2850,0,South Korea
418,"Kia Rio, blue",3.1,21258,2017-05-03,Michelle Hernandez,492-032-7199,0,South Korea
419,"Porsche 911, yellow",12,78290.15999999999,2018-04-09,Jason Hawkins,2970540924,0,null
420,"Hyundai Elantra, red",5,34114.21875,2015-07-08,Rachel Austin,448-378-7250,15,South Korea
421,"Hyundai Elantra, blue",5,32379.3,2020-05-03,Dr. Brian Duncan,1025726177,0,South Korea
422,"Audi RS3, red",7.5,27439.5625,2016-02-16,Troy Kelly,001-629-802-0289x519,0,Germany
423,"Hyundai Sonata, pink",6,21756.42,2022-10-18,Jennifer Austin,(364)716-5656,0,South Korea
424,"BMW M3, green",9,45444,2022-07-07,Amy Bradley,001-481-037-4519x30327,0,Germany
425,"Audi A3, grey",5.7,26000.399999999998,2018-10-06,Gina Martin,998.930.6631,0,Germany
426,"BMW M3, green",9,38973,2017-09-08,Kathleen Dodson,001-107-885-0198x47401,0,Germany
427,"Hyundai Avante, pink",5.5,16771.859999999997,2015-06-14,Mrs. Heather Hutchinson MD,615.250.7627x5234,0,South Korea
428,"Audi RS3, green",7.5,26971.2,2018-02-18,Tyler Walker,630-950-7043x5734,0,Germany
429,"Tesla Model S, purple",null,44584.45,2016-11-01,Jason Leon,031.546.9395x9002,0,USA
430,"Kia Rio, orange",3.1,24393.600000000002,2020-08-09,Patricia Christensen,284.666.6256x295,0,South Korea
431,"Audi RS3, yellow",7.5,40153.756499999996,2019-07-12,Anna Davis,(740)031-8461,1,Germany
432,"Tesla Model X, grey",null,26151.120000000003,2020-03-13,Samuel Ellis,166.566.0761x9164,20,USA
433,"BMW F80, pink",8.3,25467.6,2017-01-14,Walter Smith,673-538-8034x84160,0,Germany
434,"BMW F80, blue",8.3,41767.950000000004,2022-12-21,Amy Thomas,001-510-559-0241,0,Germany
435,"BMW F80, grey",8.3,45922.8,2021-01-09,Jon Smith,893.038.9040x59900,0,Germany
436,"Lada Samara, orange",7.8,16222.7,2019-07-02,Sherri Russell,558.542.9908,0,Russia
437,"Lada Kalina, yellow",6.7,17662.1025,2021-12-18,Mark Smith,271-794-2476,0,Russia
438,"Lada Kalina, yellow",6.7,13894.812899999999,2015-07-23,Katherine Jones,653.475.0752x9078,19,Russia
439,"Kia K5, pink",4.9,15667.559999999998,2015-02-21,Meagan Jackson,(134)979-0994x339,0,South Korea
440,"BMW M3, blue",9,34824.15,2016-04-10,Kathleen Cantu,254.556.0149x48588,0,Germany
441,"Kia K5, green",4.9,26002.2,2021-08-27,Brian Cruz,818-567-2543,0,South Korea
442,"Lada Kalina, blue",6.7,17227.350000000002,2022-12-29,Kyle Smith,990-241-2127,0,Russia
443,"Audi RS3, blue",7.5,18840.384,2015-04-17,Zachary Buckley,(113)377-5542,4,Germany
444,"BMW M3, yellow",9,42631.355025,2021-04-09,Dr. Craig Henderson,442-718-8607,13,Germany
445,"BMW F80, orange",8.3,44119,2017-08-31,Danielle Schmidt,001-426-165-2625x778,0,Germany
446,"BMW F80, blue",8.3,41518.799999999996,2016-11-24,Shannon Garrison,+1-865-918-4698x665,0,Germany
447,"Porsche 911, pink",12,37597.14,2022-02-23,Robert Sanchez,(161)638-5551x804,0,null
448,"Audi A3, red",5.7,29438.125,2016-05-22,Stephen Ward,4996675098,0,Germany
449,"Porsche 911, red",12,69466.25,2017-08-01,Katrina Brown,277-848-7289x3839,0,null
450,"BMW F30, pink",2,32682.78,2019-03-25,Jenna Garcia,(130)081-5389x6589,0,Germany
451,"Hyundai Avante, grey",5.5,26251.641000000003,2015-05-07,Diana Johnson,1965735353,13,South Korea
452,"Kia K5, green",4.9,18881.100000000002,2021-12-18,Kelly Lyons,123-051-6613,0,South Korea
453,"Hyundai Sonata, red",6,39843.5625,2021-03-29,James Gray,290.145.9097,0,South Korea
454,"Kia Rio, pink",3.1,14249.508,2017-07-31,Joe Flynn,559-428-2583x620,9,South Korea
455,"BMW F30, green",2,46839.6,2018-12-20,David Ruiz,7614399157,0,Germany
456,"Tesla Model Y, red",null,50229.58500000001,2015-05-27,Victoria Wright,(494)352-8214,8,USA
457,"Audi S3, orange",6.9,26042.4,2020-07-24,Martin Cunningham,950-252-0759,0,Germany
458,"Hyundai Avante, pink",5.5,22830.8496,2019-03-06,Melissa Bridges,825-472-7989x17466,11,South Korea
459,"Kia K5, blue",4.9,22055.8,2019-03-24,Shawn Cole MD,+1-787-055-2985x40658,0,South Korea
460,"Tesla Model X, green",null,67568.8,2019-01-07,Sean Roberts,001-469-842-6365x26456,0,USA
461,"Porsche 911, purple",12,57735,2020-01-07,Lisa Stewart,001-280-784-3575x7002,0,null
462,"Hyundai Sonata, pink",6,19788.69,2016-09-25,Carrie Young,+1-724-775-9417x9527,0,South Korea
463,"BMW F80, pink",8.3,25625.88,2021-09-05,Kenneth Holt,(998)997-0528x2082,0,Germany
464,"Hyundai Avante, pink",5.5,19819.8,2022-11-24,Wendy Blair,001-247-883-0812x60067,0,South Korea
465,"Lada Vesta, pink",7.3,10940.580000000002,2022-09-29,Tracy Price,001-176-362-7097,5,Russia
466,"Tesla Model X, orange",null,32158.8,2015-01-29,Shane Garcia,001-504-607-8012,0,USA
467,"Hyundai Avante, blue",5.5,37079.700000000004,2021-07-25,Thomas Moore,(939)664-7052x64979,0,South Korea
468,"Tesla Model X, pink",null,36313.2,2018-04-13,Juan Hernandez,+1-723-878-2939,0,USA
469,"Audi S3, blue",6.9,25990.8,2018-10-21,Christina Nielsen,105-518-7353,0,Germany
470,"Audi A3, yellow",5.7,40248.39,2019-10-19,Brittany Perez,632-657-8902,0,Germany
471,"Porsche 911, pink",12,27263.142,2015-07-13,Kristin Carter,001-894-137-0332x473,19,null
472,"Porsche 911, blue",12,50314.7645,2016-05-14,Todd Ruiz,9399727477,9,null
473,"Hyundai Elantra, yellow",5,44594.182499999995,2021-03-29,Mr. Joseph Mitchell,(260)432-1831x60158,0,South Korea
474,"Lada Kalina, green",6.7,16511,2016-04-02,Casey Lewis,001-004-867-2612x6548,0,Russia
475,"Tesla Model 3, red",null,60558.345,2018-08-26,Lisa Flores,443-852-4644,7,USA
476,"Audi A3, yellow",5.7,25080.35,2017-02-24,Cole Coleman,001-082-379-0078,0,Germany
477,"Lada Samara, grey",7.8,12309.72,2018-05-23,Kylie Garcia,001-104-429-3717x8665,5,Russia
478,"Hyundai Avante, orange",5.5,37755.9,2022-05-17,Sara Le,924.503.4586x1465,0,South Korea
479,"Hyundai Elantra, pink",5,23894.64,2018-09-16,Kevin Thomas,+1-676-086-3802x4603,0,South Korea
480,"Audi A3, green",5.7,22113.441,2020-11-16,Stephanie Anderson,912.783.8025x80348,17,Germany
481,"BMW M3, purple",9,41974.8,2021-05-08,Brian Hayes,959-103-0624,0,Germany
482,"Hyundai Sonata, orange",6,30127.35,2016-08-26,Lisa Bowen,(142)491-4580x59207,0,South Korea
483,"Kia K5, purple",4.9,27331,2017-03-24,Mrs. Renee Brooks,409.033.4245x1965,0,South Korea
484,"Hyundai Sonata, yellow",6,55747.055,2019-05-16,Christina Cross,001-249-626-8465x504,0,South Korea
485,"Porsche 911, yellow",12,85898.09999999999,2018-09-21,Monica Medina,(787)237-7387x125,0,null
486,"Lada Samara, grey",7.8,10830.6,2020-09-26,Christine Durham,(561)113-7760x0430,0,Russia
487,"Lada Kalina, red",6.7,19063.53125,2016-06-11,Jorge Wolfe,458-753-3076x0245,3,Russia
488,"Lada Samara, grey",7.8,11316.984,2021-06-22,Kimberly Mcknight,001-193-669-2464x4989,18,Russia
489,"Audi RS3, yellow",7.5,44353.659999999996,2019-02-05,Mackenzie Williams,+1-868-711-9628,0,Germany
490,"BMW F80, orange",8.3,46690.8,2019-11-05,Joseph Nolan,+1-661-095-1539x8425,0,Germany
491,"Porsche 911, yellow",12,60838.335,2020-10-16,Kevin Jones,(849)497-5061x4739,0,null
492,"Lada Kalina, blue",6.7,9793.5975,2016-04-06,Jose Carter,001-696-047-0533x917,7,Russia
493,"Audi RS3, purple",7.5,22685.4,2020-05-29,David Gonzales,761-224-2693x2837,0,Germany
494,"BMW M3, green",9,43465.8,2022-08-07,Jason Murphy,+1-815-381-1752x91018,0,Germany
495,"Lada Samara, blue",7.8,17896.8,2018-12-18,Anna Gomez,442-344-1239x38987,0,Russia
496,"Tesla Model 3, purple",null,44720.55,2022-01-15,Gerald Campbell,485.577.4296,0,USA
497,"Audi S3, pink",6.9,14035.109999999999,2016-12-19,Debra Taylor,209.562.7740x42367,0,Germany
498,"Lada Vesta, blue",7.3,16780,2017-03-08,Kyle Ruiz,(854)610-0516x1504,0,Russia
499,"Hyundai Elantra, red",5,43196.175,2017-09-11,Jose Richardson,123.466.3703x373,7,South Korea
500,"Tesla Model Y, purple",null,47548.8,2019-03-29,Rodney Wong,139-230-6262,0,USA
501,"Tesla Model S, purple",null,44517.9,2021-05-22,Felicia White,(278)447-4982x97638,0,USA
502,"Lada Vesta, orange",7.3,15905.400000000001,2021-12-11,Joseph Freeman,839.186.3885x24096,0,Russia
503,"Lada Vesta, purple",7.3,14167.4,2019-01-20,Michael Moore,001-250-468-8403x8729,0,Russia
504,"Lada Vesta, blue",7.3,16365.300000000001,2021-05-11,Carlos Watson,+1-093-130-2040x316,0,Russia
505,"Lada Vesta, grey",7.3,12664.800000000001,2020-12-20,Dawn Montgomery,486-535-6583x0818,0,Russia
506,"Hyundai Elantra, green",5,33532,2017-03-04,Mark Villegas,+1-469-420-1355,0,South Korea
507,"Tesla Model Y, yellow",null,40317.85,2017-03-12,Tyler Frey,001-508-297-9194,0,USA
508,"Kia Rio, red",3.1,30776.8125,2021-09-12,Rhonda Reyes,233.490.4671,0,South Korea
509,"BMW F80, grey",8.3,42441.25,2016-12-19,Mrs. Haley Mccoy,+1-077-769-4826,0,Germany
510,"BMW F80, purple",8.3,46826.85,2022-09-21,Ashley Yang,380.591.8375,0,Germany
511,"Audi RS3, yellow",7.5,28259.122499999998,2022-09-27,Jacqueline Lopez,001-982-157-2616,0,Germany
512,"Tesla Model 3, orange",null,41310.15,2022-04-19,Kathleen Villanueva,(331)822-5026,0,USA
513,"Porsche 911, purple",12,77127.7,2019-07-22,Caitlin Cook,001-067-272-6613x007,0,null
514,"Tesla Model 3, green",null,61436.399999999994,2018-07-16,Jennifer Cooper,215.819.0980x31971,0,USA
515,"Kia K5, blue",4.9,19917.9,2015-10-17,Kelly Robinson,(800)141-5930x82968,0,South Korea
516,"Tesla Model Y, grey",null,60753.6,2018-08-02,Tyler Dougherty,3538773904,0,USA
517,"BMW F80, yellow",8.3,43933.68,2015-08-16,Charles Carroll,411.653.7225x3900,0,Germany
518,"BMW M3, red",9,49747.79250000001,2021-03-31,Brandon Patel,(422)544-7465x490,7,Germany
519,"BMW F30, grey",2,39252.6,2020-03-01,Mary Moore,997.079.3323x04560,0,Germany
520,"Audi A3, blue",5.7,24041.7,2015-04-08,Brandi Williams,993.842.0157,0,Germany
521,"Lada Kalina, red",6.7,17437.5,2020-06-08,Evelyn Valencia,(684)763-0972x41690,0,Russia
522,"Kia K5, yellow",4.9,25587.27,2020-01-05,Timothy Young,(201)967-9915,0,South Korea
523,"Kia Rio, green",3.1,17539.2,2020-05-30,Michael Ramirez,013.377.8879x2519,0,South Korea
524,"BMW F80, pink",8.3,22885.2,2017-10-23,Eric Burton,(563)482-5799,0,Germany
525,"Porsche 911, yellow",12,89224.58999999998,2019-01-31,Ralph Smith,(889)179-6676,0,null
526,"Tesla Model S, yellow",null,50958.57,2016-10-14,David Bowen,(452)660-5161x5373,0,USA
